ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
ECUcc1996,Ecuador,ECU,Latin America & Caribbean,Upper middle income,1996,cc,4,-0.5325772,0.2316749,-0.912524,-0.1526304,37.0746477,4.6894551,29.383941399999998,44.765353999999995,..,..,..,..,..,..,..,..,..,0.125,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,0.32899999999999996,..,..,..,0.25
EGYcc1996,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1996,cc,5,-0.2903698,0.21722799999999998,-0.6466237,0.0658841,41.9772971,4.3970278,34.7661715,49.1884228,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,0.8333332999999999,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333,..,..,0.16799999999999998,..,..,..,0.375
ERIcc1996,Eritrea,ERI,Sub-Saharan Africa,Low income,1996,cc,2,0.5000207,0.3430487,-0.0625792,1.0626206,57.976013699999996,6.9438325,46.588128399999995,69.363899,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6599999999999999,..,..,..,0.625
ESPcc1996,Spain,ESP,Europe & Central Asia,High income,1996,cc,6,1.5109982,0.1996623,1.183552,1.8384444,78.4397497,4.0414717,71.8117362,85.0677633,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.7066667,..,..,..,..,..,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.961,..,0.3727,..,0.75
ESTcc1996,Estonia,EST,Europe & Central Asia,High income,1996,cc,3,0.48592929999999995,0.2525267,0.0717855,0.9000731,57.690782199999994,5.1115281,49.307876099999994,66.07368819999999,..,..,..,..,..,..,..,..,..,0.375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.852,..,..,..,0.625
ETHcc1996,Ethiopia,ETH,Sub-Saharan Africa,,1996,cc,4,-0.9822702999999999,0.2316749,-1.3622170999999998,-0.6023235,27.972169299999997,4.689455,20.281463,35.6628755,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333,..,..,0.427,..,..,..,0.25
FINcc1996,Finland,FIN,Europe & Central Asia,High income,1996,cc,6,2.3650037,0.1996623,2.0375574999999997,2.6924498999999997,95.7261316,3.3237444999999997,89.098118,100.0,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.9516667,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,0.985,..,0.9176,..,1
FJIcc1996,Fiji,FJI,East Asia & Pacific,Upper middle income,1996,cc,2,0.5492557,0.3430487,-0.013344199999999999,1.1118556,58.972605699999995,6.9438325,47.584720399999995,70.360491,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.693,..,..,..,0.625
FRAcc1996,France,FRA,Europe & Central Asia,High income,1996,cc,6,1.408111,0.1996623,1.0806647999999999,1.7355572,76.3571549,4.0414717,69.7291413,82.9851685,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,0.74,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,0.939,..,0.6,..,0.75
GABcc1996,Gabon,GAB,Sub-Saharan Africa,Upper middle income,1996,cc,4,-1.0853559,0.2316749,-1.4653026999999998,-0.7054091,25.8855585,4.689455,18.1948523,33.5762648,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1666667,..,..,0.12,..,..,..,0.5
